City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
1,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Katobu,ID,71.28,few clouds,-4.9408,122.5276,La Ode Husein
8,Carauari,BR,87.28,overcast clouds,-4.8828,-66.8958,Hotel Fellip
12,Hurghada,EG,89.46,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
13,Ostersund,SE,74.61,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
16,Lengshuijiang,CN,75.0,few clouds,27.6881,111.4294,Sheraton
17,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Cedar Falls,US,82.22,scattered clouds,42.5278,-92.4455,"Country Inn & Suites by Radisson, Cedar Falls, IA"
20,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
22,Changping,CN,83.52,few clouds,40.2186,116.2197,Huachang Hotel
27,Ferrol,ES,71.71,few clouds,43.4832,-8.2369,Parador de Ferrol
29,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
31,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Novonikolsk,RU,73.18,scattered clouds,43.8506,131.8645,Avtostreet
36,Kieta,PG,79.12,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
37,Hithadhoo,MV,82.53,broken clouds,-0.6,73.0833,Scoop Guest House
41,Mahibadhoo,MV,82.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
42,Bo Rai,TH,80.65,moderate rain,12.5728,102.5371,Baiboon Resort
43,Jiaocheng,CN,77.52,clear sky,24.6774,116.1389,Changtan Tourism Resort
49,Albany,US,78.8,clear sky,42.6001,-73.9662,
50,Bethel,US,81.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
51,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
54,Virden,US,85.39,clear sky,39.5009,-89.7679,Virden Nail Spa
55,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Almaznyy,RU,80.74,clear sky,48.0448,40.045,
59,Labuhan,ID,77.29,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
60,Salamiyah,SY,88.27,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
61,Eyl,SO,79.72,overcast clouds,7.9803,49.8164,Amiin Hotel
63,Weligama,LK,77.7,broken clouds,5.9667,80.4167,Weligama Bay Resort
66,Kavieng,PG,82.31,clear sky,-2.5744,150.7967,Nusa Island Retreat
68,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
69,Palmer,US,79.99,few clouds,42.1584,-72.3287,Wedgewood Motel
70,Gol,NO,82.78,light rain,60.7014,8.9457,Pers Cottages
71,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
74,Elizabeth City,US,84.25,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
77,Faanui,PF,77.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Akyab,MM,82.72,broken clouds,20.15,92.9,Hotel Memory
79,Elva,EE,74.05,broken clouds,58.2225,26.4211,Verevi Motel
80,Caborca,MX,80.56,overcast clouds,30.5838,-111.101,Hotel Los Lagos
81,Belyy Yar,RU,71.49,overcast clouds,53.6039,91.3903,Pasportnyy Stol
82,Ouadda,CF,76.53,moderate rain,8.0777,22.4007,
84,Andros Town,BS,89.56,overcast clouds,24.7,-77.7667,Hanks place
90,Kankan,GN,78.51,light rain,10.3854,-9.3057,Hotel Bate
91,Laguna,US,80.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
92,Salvador,SV,83.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
93,Jiangyou,CN,75.76,heavy intensity rain,31.7667,104.7167,Shangping Shuyuan Inn
94,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
95,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
96,Pangai,TO,78.1,light rain,-19.8,-174.35,Ha'apai Beach Resort
97,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
98,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
100,Espanola,US,76.08,clear sky,35.9911,-106.0806,Santa Claran Hotel
101,Butaritari,KI,83.52,clear sky,3.0707,172.7902,Isles Sunset Lodge
104,Rincon,US,86.22,haze,32.296,-81.2354,Days Inn Rincon
105,Oranjestad,AW,80.74,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
106,General Nakar,PH,80.98,overcast clouds,14.7631,121.635,WMV Hotel & Restaurant
